window,coordinator_case,fee_multiplier,p_forced_valid,p_customer_fault,p_teacher_fault,ordinary_expected_research_mutation_gas,ordinary_expected_lesson_gas,ordinary_expected_claim_gas,forced_valid_expected_research_mutation_gas,forced_valid_expected_lesson_gas,forced_valid_expected_claim_gas,customer_fault_expected_research_mutation_gas,customer_fault_expected_lesson_gas,customer_fault_expected_claim_gas,teacher_fault_expected_research_mutation_gas,teacher_fault_expected_lesson_gas,teacher_fault_expected_claim_gas,expected_research_mutation_gas_per_attempted_lesson,expected_lesson_gas_per_attempted_lesson,expected_claim_gas_per_attempted_lesson,expected_management_gas_per_attempted_lesson,expected_coupled_gas_per_attempted_lesson,revenue_weight,lesson_settlement_cost_per_attempted_lesson,claim_cost_per_attempted_lesson,claim_inclusive_cost_per_attempted_lesson,coupled_cost_per_attempted_lesson,cost_share_at_50,cost_share_at_100,cost_share_at_150,coupled_cost_share_at_50,coupled_cost_share_at_100,coupled_cost_share_at_150
Supply-first,Elevated coordinator,10,0.05,0.02,0.01,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,756308,54383,810692,810692,0.985,0.11314786,0.00813604,0.12128390,0.12128390,0.246262,0.123131,0.082087,0.246262,0.123131,0.082087
Supply-first,Coordinator stress,1,0.1,0.05,0.03,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,755544,52061,807605,807605,0.960,0.01130335,0.00077886,0.01208221,0.01208221,0.025171,0.012586,0.008390,0.025171,0.012586,0.008390
Supply-first,Coordinator stress,5,0.1,0.05,0.03,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,755544,52061,807605,807605,0.960,0.05651676,0.00389429,0.06041105,0.06041105,0.125856,0.062928,0.041952,0.125856,0.062928,0.041952
Supply-first,Coordinator stress,10,0.1,0.05,0.03,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,755544,52061,807605,807605,0.960,0.11303352,0.00778858,0.12082210,0.12082210,0.251713,0.125856,0.083904,0.251713,0.125856,0.083904
Synchronised,No coordinator,1,0,0,0,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,804895,91502,896397,905268,1.000,0.01204167,0.00136892,0.01341059,0.01354331,0.026821,0.013411,0.008940,0.027087,0.013543,0.009029
Synchronised,No coordinator,5,0,0,0,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,804895,91502,896397,905268,1.000,0.06020833,0.00684461,0.06705294,0.06771654,0.134106,0.067053,0.044702,0.135433,0.067717,0.045144
Synchronised,No coordinator,10,0,0,0,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,804895,91502,896397,905268,1.000,0.12041666,0.01368923,0.13410588,0.13543308,0.268212,0.134106,0.089404,0.270866,0.135433,0.090289
Synchronised,Low coordinator,1,0.01,0.003,0.002,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,804674,91090,895764,904635,0.998,0.01203836,0.00136276,0.01340112,0.01353384,0.026869,0.013435,0.008956,0.027136,0.013568,0.009045
Synchronised,Low coordinator,5,0.01,0.003,0.002,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,804674,91090,895764,904635,0.998,0.06019178,0.00681381,0.06700559,0.06766919,0.134347,0.067174,0.044782,0.135678,0.067839,0.045226
Synchronised,Low coordinator,10,0.01,0.003,0.002,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,804674,91090,895764,904635,0.998,0.12038356,0.01362762,0.13401118,0.13533837,0.268694,0.134347,0.089565,0.271355,0.135678,0.090452
Synchronised,Elevated coordinator,1,0.05,0.02,0.01,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,803676,88986,892662,901533,0.985,0.01202343,0.00133127,0.01335470,0.01348742,0.027116,0.013558,0.009039,0.027386,0.013693,0.009129
Synchronised,Elevated coordinator,5,0.05,0.02,0.01,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,803676,88986,892662,901533,0.985,0.06011716,0.00665636,0.06677352,0.06743711,0.135581,0.067790,0.045194,0.136928,0.068464,0.045643
Synchronised,Elevated coordinator,10,0.05,0.02,0.01,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,803676,88986,892662,901533,0.985,0.12023431,0.01331272,0.13354703,0.13487423,0.271161,0.135581,0.090387,0.273856,0.136928,0.091285
Synchronised,Coordinator stress,1,0.1,0.05,0.03,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,802844,85440,888284,897155,0.960,0.01201099,0.00127822,0.01328921,0.01342193,0.027686,0.013843,0.009229,0.027962,0.013981,0.009321
Synchronised,Coordinator stress,5,0.1,0.05,0.03,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,802844,85440,888284,897155,0.960,0.06005495,0.00639111,0.06644606,0.06710965,0.138429,0.069215,0.046143,0.139812,0.069906,0.046604
Synchronised,Coordinator stress,10,0.1,0.05,0.03,8871,804895,91502,8871,777283,80057,8871,782353,0,8871,866155,80067,8871,802844,85440,888284,897155,0.960,0.12010989,0.01278222,0.13289211,0.13421931,0.276859,0.138429,0.092286,0.279624,0.139812,0.093208
